code;name;energy;fat;sat_fat;carbs;sugar;fiber;protein;salt;own_types;ingredients;amount;cooking;water;cost;weight
2;Porridge with Peanut Butter and Dried Apricots; 777.25; 38.34; 4.625; 72.725; 41.6; 23.7; 24.03; 0.303; 0--;[0, 1, 5, 12]; [50, 25, 65, 50]; True; True; 1.2021176470588235; 190
3;Tomato Pasta with Soy Protein; 750.05; 6.445; 2.8400000000000003; 126.69999999999999; 18.315; 8.5; 42.465; 4.35; 1--2--;[2, 3]; [155, 50]; True; True; 1.865; 205
4;Rice Tofu Curry; 1390.0; 77.04999999999998; 59.6; 127.32; 52.239999999999995; 0.12; 42.28; 0.353; 1--2--;[21, 11, 14, 6]; [200, 30, 240, 150]; True; True; 4.585; 620
5;Tomate Rice with Lentils; 1211.002; 6.845000000000001; 2.6410000000000005; 221.493; 14.334000000000003; 16.5; 54.618; 4.923; 1--2--;[20, 8, 6]; [43, 150, 150]; True; True; 1.52375; 343
6;Mashed Potatoes with Beans; 1067.2; 30.5; 12.56; 141.2; 13.719999999999999; 35.239999999999995; 37.94; 4.805999999999999; 1--2--;[16, 7, 13]; [380, 100, 50]; True; True; 1.8025000000000002; 530
7;Carbonara with Soy Protein; 779.5; 14.195000000000002; 4.08; 114.61000000000001; 10.254999999999999; 8.5; 46.495000000000005; 4.35; 1--2--;[19, 3]; [155, 50]; True; True; 1.865; 205
8;Cheese Paste with Soy Protein; 783.375; 13.342500000000001; 6.6375; 119.3375; 14.1765; 8.5; 43.9375; 5.4350000000000005; 1--2--;[18, 3]; [155, 50]; True; True; 1.8165624999999999; 205
9;Nut Bar and Chia Bread; 546.35; 38.5; 4.41; 29.68; 7.9799999999999995; 8.295; 16.310000000000002; 0.8854999999999998; 3--;[17, 9]; [35, 63]; False; False; 1.5536666666666665; 98
