code;name;energy;fat;sat_fat;carbs;sugar;fiber;protein;salt;cooking;water;price_per_unit;unit_size;price_per_gram;types
0;Penis; 370.0; 6.9; 1.2; 59.0; 1.3; 10.0; 13.0; 0.0; True; True; 1.5; 850.0; 0.0017647058823529412; 0--
1;Smooth Peanut Butter; 641.0; 54.0; 8.7; 11.1; 7.2; 0.0; 24.5; 1.0; False; False; 2.29; 340.0; 0.006735294117647059; 0--
